PS1_mean,PS1_std,PS1_max,PS1_min,PS2_mean,PS2_std,PS2_max,PS2_min,PS3_mean,PS3_std,PS3_max,PS3_min,PS4_mean,PS4_std,PS4_max,PS4_min,PS5_mean,PS5_std,PS5_max,PS5_min,PS6_mean,PS6_std,PS6_max,PS6_min,TS1_mean,TS1_std,TS1_max,TS1_min,TS2_mean,TS2_std,TS2_max,TS2_min,TS3_mean,TS3_std,TS3_max,TS3_min,TS4_mean,TS4_std,TS4_max,TS4_min,FS1_mean,FS1_std,FS1_max,FS1_min,FS2_mean,FS2_std,FS2_max,FS2_min,EPS1_mean,EPS1_std,EPS1_max,EPS1_min,VS1_mean,VS1_std,VS1_max,VS1_min,CE_mean,CE_std,CE_max,CE_min,SE_mean,SE_std,SE_max,SE_min,CP_mean,CP_std,CP_max,CP_min,cooler_condition,valve_condition,pump_leakage,accumulator_pressure,stable_flag
160.67349166666625,13.939308553347333,191.51,145.83,109.46691350000005,47.1145077122594,156.99,0.0,1.9914753333333262,0.945704833795222,10.039,0.0,0.0,0.0,0.0,0.0,9.842169500000013,0.08815395409747945,10.016,9.681,9.72809749999997,0.08536617142807482,9.887,9.568,35.62198333333334,0.3082298554412129,36.152,35.156,40.97876666666664,0.15430174781424608,41.25,40.773,38.471016666666664,0.08465893520907612,38.613,38.316,31.745250000000006,1.1164783712145214,33.594,30.363,6.709815000000007,3.0154279016127576,18.71,0.0,10.304591666666655,0.09177151854787624,10.446,10.148,2538.929166666707,185.6161209953697,2951.6,2339.8,0.5769500000000001,0.027078307660611114,0.624,0.532,39.60135,6.370535064734906,47.438,28.866,59.15718333333337,23.763984035447542,79.568,0.0,1.8627499999999997,0.2793851375516345,2.188,1.383,3,100,0,130,1
160.60332000000074,14.118967490038667,191.47,145.73,109.3548903333334,47.04561102371871,157.56,0.0,1.9762343333333219,0.9419670261749763,9.992,0.0,0.0,0.0,0.0,0.0,9.635142166666707,0.038391803948333414,9.745,9.557,9.529487833333397,0.03631606616107766,9.637,9.454,36.676966666666665,0.5857401797658159,37.488,35.648,41.53276666666667,0.338234467200284,42.105,41.031,38.97896666666667,0.1769205477777774,39.254,38.668,34.49386666666666,0.43531249117358356,35.148,33.648,6.715314999999993,3.0062481343890286,18.712,0.0,10.403098333333327,0.019161870804023103,10.453,10.352,2531.498900000043,189.94008895356455,2947.4,2332.0,0.5658500000000001,0.027240812476994492,0.626,0.524,25.786433333333324,1.6861293491072695,29.208,23.32,59.33561666666665,23.85791812211936,80.441,0.0,1.2555500000000002,0.0746050448151089,1.414,1.147,3,100,0,130,1
160.34771999999944,14.19261854410434,191.41,145.37,109.15884466666672,46.99206026756266,156.97,0.0,1.9722239999999964,0.9435008349023979,10.914,0.0,0.0,0.0,0.0,0.0,9.5305478333333,0.035816651398362244,9.64,9.455,9.427948833333366,0.03603099018920474,9.536,9.348,37.88080000000001,0.559169080884261,38.621,36.879,42.44245000000001,0.39058823196449827,43.039,41.832,39.63194999999999,0.2511332568814099,40.062,39.234,35.64615,0.29388922304795156,36.141,35.098,6.718521666666663,3.0142483000278766,18.698,0.0,10.366249999999996,0.026361190297920986,10.443,10.296,2519.9280000000276,190.73684957806222,2939.8,2318.6,0.5765333333333332,0.03672918142787259,0.662,0.529,22.21823333333334,0.6383451159096073,23.554,21.22,59.543150000000004,23.923380524559676,80.824,0.0,1.113216666666666,0.023263480995384122,1.159,1.076,3,100,0,130,1
160.1880883333334,14.22780296081302,191.34,145.14,109.06480716666653,46.97222148961286,156.44,0.0,1.9465754999999827,0.9355342055075659,10.297,0.0,0.0,0.0,0.0,0.0,9.438826666666722,0.03706858016561715,9.535,9.363,9.337429500000049,0.03737490036035054,9.431,9.257,38.879049999999985,0.5161757493696195,39.473,37.887,43.40398333333333,0.39847576076959074,43.988,42.805,40.403383333333345,0.2854337817871432,40.934,40.023,36.579466666666654,0.26239674105734306,36.988,36.105,6.720564999999993,3.020175558326619,18.896,0.0,10.302678333333336,0.02674965614848771,10.382,10.241,2511.541633333386,191.27060661314167,2929.6,2310.8,0.5692666666666667,0.033463801169331675,0.645,0.527,20.45981666666667,0.4557550446615631,21.565,19.673,59.79489999999999,24.02300457838031,80.93,0.0,1.0621500000000001,0.024621077507434946,1.107,1.022,3,100,0,130,1
160.0004716666663,14.27643404667432,191.41,144.95,108.93143433333374,46.87494621975037,158.13,0.0,1.9227069999999837,0.9303354813375965,11.102,0.0,0.0,0.0,0.0,0.0,9.358761999999949,0.02977908922424999,9.443,9.29,9.260636166666663,0.028592447370707156,9.342,9.195,39.80391666666669,0.5353736630051459,40.391,38.789,44.332750000000004,0.37276891669536666,44.887,43.742,41.310550000000006,0.29357928071953027,41.777,40.859,37.427899999999994,0.23957056920063974,37.781,36.992,6.690308333333334,3.0115502532988105,18.876,0.0,10.23775,0.029170459249407858,10.312,10.179,2503.4495000000343,191.25836911633962,2923.8,2301.8,0.5773666666666666,0.0334835991558461,0.66,0.524,19.787016666666677,0.29015644474899843,20.46,19.133,59.455266666666674,23.972261687962575,81.1,0.0,1.0704666666666671,0.021477198525347192,1.106,1.016,3,100,0,130,1
159.9202100000004,14.276070682144528,191.28,144.71,108.88768166666719,46.84425876169353,156.55,0.0,1.91328449999999,0.9326029533539479,11.453,0.0,0.0,0.0,0.0,0.0,9.301159666666644,0.031070839588500977,9.381,9.233,9.206877000000002,0.030226381578965376,9.287,9.141,40.65944999999999,0.5104791177521536,41.227,39.633,45.17061666666665,0.3699696777161316,45.687,44.605,42.12411666666665,0.2663306274301634,42.609,41.746,38.21206666666665,0.21299501598900888,38.586,37.824,6.699023333333328,3.004857476966868,18.96,0.0,10.178720000000004,0.022447154041011552,10.256,10.126,2501.007066666737,191.51857129424238,2920.6,2297.0,0.5726833333333334,0.030731473220912835,0.643,0.525,19.149683333333336,0.2772857237559662,19.651,18.588,59.56333333333331,23.982168019965442,80.946,0.0,1.0720833333333333,0.02113178316865394,1.109,1.024,3,100,0,130,1
159.67267499999937,14.371118645958965,191.19,144.49,108.67646550000013,46.78938870960367,155.04,0.0,1.8880996666666647,0.9157996183063787,10.312,0.0,0.0,0.0,0.0,0.0,9.233941833333331,0.025515275585164674,9.302,9.17,9.14332016666673,0.025541581562300707,9.208,9.075,41.46363333333333,0.5104826883854563,42.062,40.539,45.94723333333334,0.3421609476902551,46.457,45.363,42.88811666666665,0.20194965740078374,43.203,42.598,38.93209999999999,0.19430691256665655,39.242,38.562,6.6985733333333295,3.012515697774501,19.208,0.0,10.140809999999998,0.017606643343248594,10.2,10.091,2494.4169000000775,193.34185518544766,2921.6,2290.0,0.5730333333333333,0.03288808277629702,0.649,0.518,18.666383333333332,0.23829529406839164,19.415,18.348,59.789899999999975,24.040095192639864,80.848,0.0,1.0816833333333336,0.012652448904336124,1.11,1.053,3,100,0,130,1
159.61445166666644,14.387503982431072,191.17,144.41,108.6517446666669,46.806641202471575,159.09,0.0,1.8748941666666623,0.9175596581441956,10.398,0.0,0.0,0.0,0.0,0.0,9.194159166666767,0.026466895965889924,9.26,9.125,9.105058166666646,0.027312679235965157,9.172,9.04,42.215266666666665,0.4825752199790751,42.734,41.227,46.66523333333335,0.32350843473491164,47.117,46.187,43.51988333333331,0.159287937946165,43.875,43.273,39.55896666666667,0.17140041004901857,39.828,39.227,6.678026666666669,3.0047145452526767,19.333,0.0,10.095978333333333,0.018820774864487442,10.156,10.049,2489.421533333364,192.1230266935221,2913.0,2285.0,0.5720000000000002,0.037949118477513255,0.669,0.525,18.178433333333334,0.33560248714592544,18.788,17.418,59.59061666666667,23.96233051969926,81.01,0.0,1.0786999999999998,0.018538370652262808,1.105,1.033,3,100,0,130,1
159.47574499999968,14.430290295924202,191.14,144.12,108.52973849999994,46.769665216596714,167.22,0.0,1.8581203333333367,0.9143539161800993,10.789,0.0,0.0,0.0,0.0,0.0,9.144616166666712,0.023758021366170647,9.206,9.085,9.057066833333351,0.024531870469867476,9.119,9.0,42.89198333333331,0.4555136974132324,43.41,41.977,47.339433333333325,0.31305191894444984,47.789,46.855,44.201249999999966,0.1775105272600349,44.457,43.875,40.08053333333334,0.17870138586685438,40.402,39.789,6.6716516666666665,3.0138335806328356,19.577,0.0,10.039710000000001,0.019307179458197665,10.098,9.991,2484.4190666666937,193.5296655770679,2909.4,2279.8,0.5670666666666666,0.03256173623544458,0.65,0.516,18.334866666666663,0.3587938583202917,19.081,17.587,59.608883333333324,23.99526272461809,81.186,0.0,1.1150833333333332,0.0228549528561425,1.168,1.073,3,100,0,130,1
159.43799666666678,14.415517657887818,191.16,144.16,108.51088516666725,46.75187690994255,162.14,0.0,1.8410633333333353,0.9115543885159951,10.758,0.0,0.0,0.0,0.0,0.0,9.104831499999985,0.0239609083426477,9.173,9.052,9.019264666666755,0.023900679738678793,9.087,8.965,43.532833333333336,0.4566669285330602,44.012,42.641,47.98141666666667,0.31789638497774786,48.422,47.449,44.79713333333333,0.17485271929920793,45.129,44.527,40.612549999999985,0.16644797884329213,40.918,40.375,6.659990000000001,3.0106461327752654,19.432,0.0,9.99776166666668,0.01567708994480322,10.053,9.962,2480.434866666682,192.7952511840715,2905.4,2274.0,0.5716833333333334,0.031814340475436624,0.653,0.516,18.205733333333335,0.24389820512516452,18.746,17.72,59.47373333333334,23.969264811891893,80.907,0.0,1.1291333333333335,0.015200877167672468,1.163,1.108,3,100,0,130,1
